incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
357341279092736,384829069787136,2044,1042,550,328,Endorsed,Endorsed,1929742,29487272,3673332,0,0,0
357341279092736,384829069787136,2096,1094,550,328,Endorsed,Endorsed,1928514,29485709,3673332,0,0,0
358440790720512,384829069787136,2006,1004,550,328,Endorsed,Endorsed,1017909,29485633,3673332,0,0,0
336450558164992,358440790720512,2736,2736,160,80,Unendorsed,Unendorsed,1193533,0,0,0,241,10000000000
336450558164992,358440790720512,16086,16086,160,80,Unendorsed,Unendorsed,1193161,0,0,0,241,10000000000
358440790720512,384829069787136,2009,1007,550,328,Endorsed,Endorsed,1016940,29483294,3673332,0,0,0
357341279092736,336450558164992,6596,4585,340,200,Unendorsed,Unendorsed,1926046,10671225,4556926,0,241,1000000000
358440790720512,384829069787136,2048,1046,550,328,Endorsed,Endorsed,1016604,29482483,3673332,0,0,0
336450558164992,358440790720512,10652413,10652413,160,80,Unendorsed,Unendorsed,1194009,0,0,0,241,10000000000
336450558164992,357341279092736,2959912,2959912,364,284,Unendorsed,Unendorsed,1193920,0,0,0,241,5000000000
358440790720512,384829069787136,2010,1008,550,328,Endorsed,Endorsed,1015858,29480680,3673332,0,0,0
336450558164992,358440790720512,1956427,1956427,160,80,Unendorsed,Unendorsed,1193427,0,0,0,241,10000000000
336450558164992,357341279092736,6232,6232,364,284,Unendorsed,Unendorsed,1193387,0,0,0,241,5000000000
357341279092736,384829069787136,2079,1077,550,328,Endorsed,Endorsed,1926106,29480076,3673332,0,0,0
336450558164992,358440790720512,11949,11949,160,80,Unendorsed,Unendorsed,1193104,0,0,0,241,10000000000
336450558164992,357341279092736,432714,432714,364,284,Unendorsed,Unendorsed,1192933,0,0,0,241,5000000000
358440790720512,384829069787136,2010,1008,550,328,Endorsed,Endorsed,1015245,29479196,3673332,0,0,0
