incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
395824186064896,379331511648256,59214,58214,320,280,Unendorsed,Unendorsed,568072,921515,2133000,0,241,1000000000
395824186064896,368336395370496,11466,10446,633,411,Unendorsed,NoResources,568198,3595861,4304400,0,0,0
395824186064896,368336395370496,24044,22999,590,368,Unendorsed,NoResources,563949,3593612,4109985,0,0,0
395824186064896,368336395370496,17694,16661,586,364,Unendorsed,NoResources,563215,3593222,4034898,0,0,0
395824186064896,368336395370496,17547,16514,550,328,Unendorsed,NoResources,562826,3593015,3786978,0,0,0
379331511648256,395824186064896,38726,38703,210,130,Unendorsed,Unendorsed,133023,1106551,32200,0,241,500000000
395824186064896,368336395370496,14759,13732,550,328,Unendorsed,NoResources,561761,3592436,3764982,0,0,0
379331511648256,395824186064896,6202,6199,170,90,Unendorsed,Unendorsed,132717,1106345,3399,0,241,500000000
395824186064896,368336395370496,3119,2115,524,302,Unendorsed,NoResources,561122,3592094,3506972,0,0,0
395824186064896,368336395370496,5693,4684,630,408,Unendorsed,NoResources,560335,3591674,4237800,0,0,0
395824186064896,368336395370496,4907,3900,633,411,Unendorsed,NoResources,560215,3591610,4249540,0,0,0
395824186064896,379331511648256,1734942,1733925,300,260,Unendorsed,Unendorsed,559572,921218,2034000,0,241,1000000000
395824186064896,368336395370496,72743,71600,630,408,Unendorsed,NoResources,560411,3591171,4800600,0,0,0
371634930253824,368336395370496,39574,38498,550,328,Unendorsed,NoResources,34424,3590909,3944616,0,0,0
395824186064896,368336395370496,77600,76448,586,364,Unendorsed,NoResources,559373,3590616,4499712,0,0,0
379331511648256,395824186064896,4178,4176,210,130,Unendorsed,Unendorsed,132827,1105716,2800,0,241,500000000
379331511648256,395824186064896,2298,2297,210,130,Unendorsed,Unendorsed,132623,1105575,1400,0,241,500000000
395824186064896,368336395370496,17478,16446,586,364,Unendorsed,NoResources,557252,3589478,4030992,0,0,0
395824186064896,368336395370496,4221,3215,633,411,Unendorsed,NoResources,556846,3589260,4245320,0,0,0
395824186064896,379331511648256,262659,261657,240,200,Unendorsed,Unendorsed,555796,921575,1603200,0,241,1000000000
395824186064896,368336395370496,295154,293567,633,411,Unendorsed,NoResources,556771,3588681,6697140,0,0,0
379331511648256,395824186064896,31495,31477,210,130,Unendorsed,Unendorsed,133123,1105226,25200,0,241,500000000
379331511648256,395824186064896,3919,3917,170,90,Unendorsed,Unendorsed,132540,1104827,2266,0,241,500000000
395824186064896,368336395370496,15611,14582,633,411,Unendorsed,NoResources,553180,3586736,4342380,0,0,0
379331511648256,395824186064896,462402,462125,170,90,Unendorsed,Unendorsed,132210,1104597,313841,0,241,500000000
379331511648256,395824186064896,461205,460929,290,210,Unendorsed,Unendorsed,132469,1104861,533508,0,241,500000000
379331511648256,395824186064896,1428701,1427845,170,90,Unendorsed,Unendorsed,132632,1105059,969848,0,241,500000000
395824186064896,379331511648256,42186,41186,160,120,Unendorsed,Unendorsed,553199,921880,1066000,0,241,1000000000
379331511648256,395824186064896,3422,3420,290,210,Unendorsed,Unendorsed,133406,1105859,3866,0,241,500000000
395824186064896,379331511648256,12501,11501,320,280,Unendorsed,Unendorsed,553469,922778,2133000,0,241,1000000000
