incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
411217348853760,385928581414912,4451,3445,726,504,Endorsed,Endorsed,1809686,10591849,4869040,0,241,1000000000
384829069787136,400222232576000,1007,7,328,184,Endorsed,NoReputation,2272632,70641887,2186000,70359080,241,50000000000
411217348853760,373833953509376,1606,1105,224,80,Endorsed,Endorsed,1810517,8880806,747993,5915266,241,42401858500
384829069787136,400222232576000,1032,32,328,184,Endorsed,NoReputation,2271745,70639589,2186000,70359080,241,50000000000
384829069787136,400222232576000,1088,88,328,184,Endorsed,NoReputation,2271521,70639008,2186000,70359080,241,50000000000
384829069787136,400222232576000,1025,25,328,184,Endorsed,NoReputation,2271153,70638056,2186000,70359080,241,50000000000
384829069787136,400222232576000,1016,16,328,184,Endorsed,NoReputation,2270979,70637605,2186000,70359080,241,50000000000
373833953509376,400222232576000,1021,21,328,184,Endorsed,NoReputation,640527,70636756,2186000,70359080,241,50000000000
384829069787136,400222232576000,1022,22,328,184,Endorsed,NoReputation,2270425,70636170,2186000,70359080,241,50000000000
411217348853760,385928581414912,4281,3275,726,504,Endorsed,Endorsed,1809278,10591920,4869040,0,241,1000000000
384829069787136,400222232576000,1004,4,328,184,Endorsed,NoReputation,2269850,70634679,2186000,70359080,241,50000000000
384829069787136,400222232576000,1021,21,328,184,Endorsed,NoReputation,2269837,70634646,2186000,70359080,241,50000000000
385928581414912,384829069787136,2246,246,220,80,Endorsed,NoReputation,1393751,18318765,2932000,14104912,241,500000000
384829069787136,400222232576000,1025,25,328,184,Endorsed,NoReputation,2269030,70632552,2186000,70359080,241,50000000000
411217348853760,384829069787136,2467,466,220,80,Endorsed,NoReputation,1809193,18318524,2933466,14104912,241,500000000
368336395370496,400222232576000,7550,6544,368,224,Endorsed,NoReputation,320085,70632085,2467718,70359080,241,50000000000
384829069787136,400222232576000,1034,34,328,184,Endorsed,NoReputation,2268166,70630311,2186000,70359080,241,50000000000
384829069787136,400222232576000,1069,69,328,184,Endorsed,NoReputation,2267892,70629599,2186000,70359080,241,50000000000
384829069787136,400222232576000,1001,1,328,184,Endorsed,NoReputation,2267266,70627972,2186000,70359080,241,50000000000
384829069787136,400222232576000,1016,16,328,184,Endorsed,NoReputation,2267223,70627861,2186000,70359080,241,50000000000
384829069787136,400222232576000,1072,72,328,184,Endorsed,NoReputation,2266500,70625983,2186000,70359080,241,50000000000
411217348853760,335351046537216,35698,34664,344,200,Endorsed,NoReputation,1807209,2956249,2370962,0,241,25000000000
384829069787136,400222232576000,1071,71,328,184,Endorsed,NoReputation,2266326,70625532,2186000,70359080,241,50000000000
411217348853760,384829069787136,15175,13143,220,80,Endorsed,NoReputation,1806705,18316424,2978912,14104912,241,500000000
411217348853760,373833953509376,82374,81793,224,80,Endorsed,Endorsed,1806526,8879056,867433,5915266,241,42401858500
400222232576000,384829069787136,2659,658,220,80,Endorsed,NoReputation,4137320,18316093,2933466,14104912,241,500000000
411217348853760,373833953509376,328147,327320,224,80,Endorsed,NoReputation,1806679,8879462,1234711,5915266,241,42401858500
384829069787136,400222232576000,1057,57,328,184,Endorsed,NoReputation,2264979,70622030,2186000,70359080,241,50000000000
335351046537216,400222232576000,1124,124,328,184,Endorsed,NoReputation,1938205,70619901,2186000,70359080,241,50000000000
385928581414912,400222232576000,19063,18045,328,184,Endorsed,NoReputation,1390587,70619727,2225348,70359080,241,50000000000
