incoming_channel_id,outgoing_channel_id,amount_in_msat,amount_out_msat,expiry_in_height,expiry_out_height,incoming_endorsed,forwarding_outcome,incoming_revenue,outgoing_reputation,htlc_risk,in_flight_risk,slots_available,liquidity_available
363938348859392,346346162814976,12249681,12247579,304,264,Unendorsed,Unendorsed,192258,44436,4258652,0,241,1000000000
345246651187200,363938348859392,169221,168221,120,80,Unendorsed,Unendorsed,172359,719277,800000,0,241,500000000
363938348859392,345246651187200,119179,118121,550,510,Unendorsed,Unendorsed,191782,957339,3878628,0,241,750000000
345246651187200,363938348859392,7154,6154,120,80,Unendorsed,Unendorsed,173710,720033,800000,0,241,500000000
345246651187200,363938348859392,2366,1366,120,80,Unendorsed,Unendorsed,174280,720885,800000,0,241,500000000
345246651187200,363938348859392,9811,8811,120,80,Unendorsed,Unendorsed,172516,720930,800000,0,241,500000000
363938348859392,346346162814976,40617175,40612520,264,224,Unendorsed,Unendorsed,190858,44312,8192800,0,241,1000000000
363938348859392,345246651187200,5667,4665,684,644,Unendorsed,Unendorsed,189894,955926,4569120,0,241,750000000
363938348859392,345246651187200,16892,15885,264,224,Unendorsed,Unendorsed,189533,956356,1772320,0,241,750000000
363938348859392,345246651187200,2894337,2891894,224,184,Unendorsed,Unendorsed,190022,957146,3647399,0,241,750000000
363938348859392,345246651187200,13163,12157,260,220,Unendorsed,Unendorsed,192344,959539,1743398,0,241,750000000
363938348859392,346346162814976,48854544,48849148,240,200,Unendorsed,Unendorsed,192569,44240,8633600,0,241,1000000000
345246651187200,363938348859392,521290,520290,120,80,Unendorsed,Unendorsed,172003,719511,800000,0,241,500000000
363938348859392,345246651187200,179345,178257,264,224,Unendorsed,Unendorsed,194678,958473,1914880,0,241,750000000
363938348859392,345246651187200,145019,143948,160,120,Unendorsed,Unendorsed,194688,959120,1141686,0,241,750000000
363938348859392,345246651187200,7768,6765,260,220,Unendorsed,Unendorsed,195487,960080,1738199,0,241,750000000
363938348859392,345246651187200,3324798,3322141,264,224,Unendorsed,Unendorsed,196439,961062,4676320,0,241,750000000
345246651187200,363938348859392,85889,84889,120,80,Unendorsed,Unendorsed,174707,719091,800000,0,241,500000000
363938348859392,345246651187200,231998,230883,384,344,Unendorsed,Unendorsed,195687,961927,2854400,0,241,750000000
363938348859392,345246651187200,257757,256629,260,220,Unendorsed,Unendorsed,196562,962944,1954824,0,241,750000000
363938348859392,345246651187200,47868,46845,384,344,Unendorsed,Unendorsed,195198,963053,2618880,0,241,750000000
363938348859392,345246651187200,19769,18760,224,184,Unendorsed,Unendorsed,193223,962840,1506437,0,241,750000000
